["13113", "150  ", "1500022", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｴﾋﾞｽﾐﾅﾐ", "東京都", "渋谷区", "恵比寿南", "0", "0", "1", "0", "0", "0"]
["13113", "151  ", "1510065", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｵｵﾔﾏﾁｮｳ", "東京都", "渋谷区", "大山町", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1500047", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｶﾐﾔﾏﾁｮｳ", "東京都", "渋谷区", "神山町", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1500031", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｻｸﾗｶﾞｵｶﾁｮｳ", "東京都", "渋谷区", "桜丘町", "0", "0", "0", "0", "0", "0"]
["13113", "151  ", "1510073", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｻｻﾂﾞｶ", "東京都", "渋谷区", "笹塚", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500033", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｻﾙｶﾞｸﾁｮｳ", "東京都", "渋谷区", "猿楽町", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1500002", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｼﾌﾞﾔ", "東京都", "渋谷区", "渋谷", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500046", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｼｮｳﾄｳ", "東京都", "渋谷区", "松濤", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500001", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｼﾞﾝｸﾞｳﾏｴ", "東京都", "渋谷区", "神宮前", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500045", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｼﾝｾﾝﾁｮｳ", "東京都", "渋谷区", "神泉町", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1500041", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｼﾞﾝﾅﾝ", "東京都", "渋谷区", "神南", "0", "0", "1", "0", "0", "0"]
["13113", "151  ", "1510051", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ｾﾝﾀﾞｶﾞﾔ", "東京都", "渋谷区", "千駄ヶ谷", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500034", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾀﾞｲｶﾝﾔﾏﾁｮｳ", "東京都", "渋谷区", "代官山町", "0", "0", "0", "0", "0", "0"]
["13113", "150  ", "1500043", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾄﾞｳｹﾞﾝｻﾞｶ", "東京都", "渋谷区", "道玄坂", "0", "0", "1", "0", "0", "0"]
["13113", "151  ", "1510063", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾄﾐｶﾞﾔ", "東京都", "渋谷区", "富ヶ谷", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500036", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾅﾝﾍﾟｲﾀﾞｲﾁｮｳ", "東京都", "渋谷区", "南平台町", "0", "0", "0", "0", "0", "0"]
["13113", "151  ", "1510066", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾆｼﾊﾗ", "東京都", "渋谷区", "西原", "0", "0", "1", "0", "0", "0"]
["13113", "151  ", "1510072", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾊﾀｶﾞﾔ", "東京都", "渋谷区", "幡ヶ谷", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500035", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾊﾁﾔﾏﾁｮｳ", "東京都", "渋谷区", "鉢山町", "0", "0", "0", "0", "0", "0"]
["13113", "151  ", "1510061", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾊﾂﾀﾞｲ", "東京都", "渋谷区", "初台", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500011", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾋｶﾞｼ", "東京都", "渋谷区", "東", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500012", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾋﾛｵ", "東京都", "渋谷区", "広尾", "0", "0", "1", "0", "0", "0"]
["13113", "151  ", "1510071", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾎﾝﾏﾁ", "東京都", "渋谷区", "本町", "0", "0", "1", "0", "0", "0"]
["13113", "150  ", "1500044", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾏﾙﾔﾏﾁｮｳ", "東京都", "渋谷区", "円山町", "0", "0", "0", "0", "0", "0"]
["13113", "151  ", "1510062", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾓﾄﾖﾖｷﾞﾁｮｳ", "東京都", "渋谷区", "元代々木町", "0", "0", "0", "0", "0", "0"]
["13113", "151  ", "1510053", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾖﾖｷﾞ", "東京都", "渋谷区", "代々木", "0", "0", "1", "0", "0", "0"]
["13113", "151  ", "1510052", "ﾄｳｷｮｳﾄ", "ｼﾌﾞﾔｸ", "ﾖﾖｷﾞｶﾐｿﾞﾉﾁｮｳ", "東京都", "渋谷区", "代々木神園町", "0", "0", "0", "0", "0", "0"]
["14213", "242  ", "2420023", "ｶﾅｶﾞﾜｹﾝ", "ﾔﾏﾄｼ", "ｼﾌﾞﾔ", "神奈川県", "大和市", "渋谷", "0", "0", "1", "0", "0", "0"]
["16202", "93301", "9330136", "ﾄﾔﾏｹﾝ", "ﾀｶｵｶｼ", "ｼﾌﾞﾔ", "富山県", "高岡市", "渋谷", "0", "0", "0", "0", "0", "0"]
["21201", "500  ", "5008423", "ｷﾞﾌｹﾝ", "ｷﾞﾌｼ", "ｼﾌﾞﾔﾁｮｳ", "岐阜県", "岐阜市", "渋谷町", "0", "0", "0", "0", "0", "0"]
["23211", "471  ", "4710808", "ｱｲﾁｹﾝ", "ﾄﾖﾀｼ", "ｼﾌﾞﾔﾁｮｳ", "愛知県", "豊田市", "渋谷町", "0", "0", "1", "0", "0", "0"]
["26105", "605  ", "6050874", "ｷｮｳﾄﾌ", "ｷｮｳﾄｼﾋｶﾞｼﾔﾏｸ", "ﾄｷﾜﾁｮｳ", "京都府", "京都市東山区", "常盤町（東大路通渋谷上る、渋谷通東大路東入、渋谷通東大路東入２丁目、", "0", "0", "0", "0", "0", "0"]
["27204", "563  ", "5630028", "ｵｵｻｶﾌ", "ｲｹﾀﾞｼ", "ｼﾌﾞﾀﾆ", "大阪府", "池田市", "渋谷", "0", "0", "1", "0", "0", "0"]
["28221", "66924", "6692439", "ﾋｮｳｺﾞｹﾝ", "ｻｻﾔﾏｼ", "ｼﾌﾞﾀﾆ", "兵庫県", "篠山市", "渋谷", "0", "0", "0", "0", "0", "0"]
["29204", "632  ", "6320053", "ﾅﾗｹﾝ", "ﾃﾝﾘｼ", "ｼﾌﾞﾀﾆﾁｮｳ", "奈良県", "天理市", "渋谷町", "0", "0", "0", "0", "0", "0"]
